Path	Lines of Code
backend/app.js	57
backend/bd/fixiotech.sql	98
backend/config/databaseConnexion.js	44
backend/controleurs/controleurHoraire.js	105
backend/controleurs/controleurRendezVous.js	162
backend/controleurs/controleurUtilisateur.js	156
backend/controleurs/utils.js	33
backend/middlewares/errorHandler.js	34
backend/routes/routeHoraire.js	21
backend/routes/routeRendezVous.js	23
backend/routes/routeUtilisateur.js	23
backend/validateurs/validateurHoraire.js	8
backend/validateurs/validateurRendezVous.js	25
backend/validateurs/validateurUtilisateur.js	45
backend/vitest.config.js	10
