Path	Lines of Code
frontend/services/apiHoraire.js	48
frontend/services/apiRendezVous.js	37
frontend/services/apiUtilisateur.js	49
frontend/services/httpClient.js	45
frontend/src/App.css	71
frontend/src/App.jsx	45
frontend/src/context/AuthContext.jsx	25
frontend/src/index.css	61
frontend/src/main.jsx	15
frontend/src/routes/ProtectedRoute.jsx	11
frontend/src/setupTests.js	16
frontend/src/vues/Navigation/MainNavigation.css	76
frontend/src/vues/Navigation/MainNavigation.jsx	104
frontend/src/vues/accueil.css	325
frontend/src/vues/accueil.jsx	195
frontend/src/vues/client.css	108
frontend/src/vues/client.jsx	146
frontend/src/vues/contact.css	272
frontend/src/vues/contact.jsx	235
frontend/src/vues/employe.css	524
frontend/src/vues/employe.jsx	262
frontend/src/vues/horaires.css	222
frontend/src/vues/horaires.jsx	287
frontend/src/vues/inscription.css	118
frontend/src/vues/inscription.jsx	149
frontend/src/vues/login.css	86
frontend/src/vues/login.jsx	118
frontend/src/vues/logs.css	369
frontend/src/vues/logs.jsx	345
frontend/src/vues/rendez-vous.css	329
frontend/src/vues/rendez-vous.jsx	336
frontend/src/vues/services_aides.css	409
frontend/src/vues/services_aides.jsx	231
