Metric		Current
TOTAL_NUMBER_OF_FILES		79,559
NUMBER_OF_FILES_MAIN		49
LINES_OF_CODE_MAIN		6,324
NUMBER_OF_FILES_MAIN_EXT_CSS		13
LINES_OF_CODE_MAIN_EXT_CSS		2,682
NUMBER_OF_FILES_MAIN_EXT_JSX		15
LINES_OF_CODE_MAIN_EXT_JSX		2,384
NUMBER_OF_FILES_MAIN_EXT_JS		19
LINES_OF_CODE_MAIN_EXT_JS		1,143
NUMBER_OF_FILES_MAIN_EXT_SQL		1
LINES_OF_CODE_MAIN_EXT_SQL		88
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		27
NUMBER_OF_FILES_TEST		2
LINES_OF_CODE_TEST		211
NUMBER_OF_FILES_TEST_EXT_JSX		2
LINES_OF_CODE_TEST_EXT_JSX		211
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		3.33
NUMBER_OF_FILES_GENERATED		2
LINES_OF_CODE_GENERATED		6,888
NUMBER_OF_FILES_GENERATED_EXT_JSON		2
LINES_OF_CODE_GENERATED_EXT_JSON		6,888
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		5
LINES_OF_CODE_OTHER		7,009
NUMBER_OF_FILES_OTHER_EXT_JSON		4
LINES_OF_CODE_OTHER_EXT_JSON		6,953
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		56
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND		13
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND		899
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		12
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		811
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_SQL		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_SQL		88
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		79
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		52
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_HTML		27
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND		32
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND		5,346
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		13
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		2,682
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		15
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		2,384
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		280
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		1
LINES_OF_CODE_CONCERN_GENERAL_TODOS		235
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_JSX		1
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_JSX		235
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		48
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		6,089
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		13
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		2,682
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		14
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		2,149
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		19
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		1,143
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		88
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		27
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		26
LOW_RISK_FILE_SIZE_COUNT		12
MEDIUM_RISK_FILE_SIZE_COUNT		10
HIGH_RISK_FILE_SIZE_COUNT		1
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
